ID,Name,Address,Latitude,Longitude,Operating Hours,Waze Link,Telephone,Email,Birthday Party,Breakfast,Cashless Facility,Dessert Center,Digital Kiosk,McCafe,WiFi,McDelivery
1,McDonald's Bukit Bintang,"120-120A Jalan Bukit Bintang, 55100, Kuala Lumpur, Malaysia",3.146847,101.710931,24 Hours,"https://waze.com/ul?ll=3.146847,101.710931",03-21427843,s001@my.mcd.com,1,1,1,1,1,1,1,1
2,McDonald's Bangsar,"48, Jalan Telawi Lima, 59100, Bangsar Baru, Bangsar, Kuala Lumpur, Malaysia",3.132950,101.672297,24 Hours,"https://waze.com/ul?ll=3.132950,101.672297",03-22012551,s008@my.mcd.com,1,1,1,0,1,1,1,1
3,McDonald's Alpha Angle ,"Lot G-13, Ground Floor, Alpha Angle Complex, Jalan R1, Wangsa Maju, 53000, Setapak, Kuala Lumpur, Malaysia",3.202098,101.734244,N/A,"https://waze.com/ul?ll=3.202098,101.734244",03-41314015,s028@my.mcd.com,1,1,1,1,1,1,0,1
4,McDonald's Leisure Mall Cheras,"LG 16, Lower Ground Floor, Leisure Mall, Taman Segar, No. 6, Jalan Cheras, 56100, Cheras, Kuala Lumpur, Malaysia",3.090122,101.741520,N/A,"https://waze.com/ul?ll=3.090122,101.741520",03-91345785,s049@my.mcd.com,1,0,1,1,0,0,1,1
5,McDonald's Desa Pandan,"Lot 2 & 2-1, Jalan 1/76D, Desa Pandan, 55100, Kuala Lumpur, Malaysia",3.147090,101.736853,N/A,"https://waze.com/ul?ll=3.147090,101.736853",03-92028218,s077@my.mcd.com,1,1,1,0,1,0,1,1
6,McDonald's Jalan Tun Perak ,"38, Jalan Tun Perak, Ground & Mezzanine Floor, Wisma Teck Lee, 50050, Kuala Lumpur, Malaysia",3.149178,101.696865,N/A,"https://waze.com/ul?ll=3.149178,101.696865",03-20266899 ,s101@my.mcd.com,1,1,1,1,1,1,1,1
7,McDonald's Gombak ,"M01 & M02, Kompleks Idaman, No. 40 - 50, Jalan 2/21D, Medan Idaman, Batu 5 1/4, Jalan Gombak, 53000, Kuala Lumpur, Malaysia",3.212711,101.711531,N/A,"https://waze.com/ul?ll=3.212711,101.711531",03-40319751,s104@my.mcd.com,1,1,1,0,1,1,0,1
8,McDonald's Mont Kiara ,"No. 1, Block D, Plaza Mont Kiara, Jalan Bukit Kiara, 50480, Bukit Kiara, Kuala Lumpur, Malaysia",3.165745,101.652203,24 Hours,"https://waze.com/ul?ll=3.165745,101.652203",03-62063255,s139@my.mcd.com,1,1,1,0,1,1,1,1
9,McDonald's Petron Seremban-KL Highway DT,"8KM, KL-Seremban Highway, 57000, Seri Kembangan, Kuala Lumpur, Malaysia",3.047047,101.705739,N/A,"https://waze.com/ul?ll=3.047047,101.705739",03-89423932,s149@my.mcd.com,1,1,1,0,1,1,1,1
10,McDonald's Bandar Sri Damansara DT,"Lot PT21552 & PT21553, Mukim Sungai Buloh, Persiaran Perdana, 52200, Bandar Sri Damansara, Kuala Lumpur, Malaysia",3.195093,101.607767,24 Hours,"https://waze.com/ul?ll=3.195093,101.607767",03-62617064,s169@my.mcd.com,1,1,1,0,1,1,1,1
11,McDonald's Pandan Mewah DT,"Bangunan Restoran McDonald's, Jalan Mewah Utara, 68000, Ampang, Kuala Lumpur, Malaysia",3.128108,101.762843,24 Hours,"https://waze.com/ul?ll=3.128108,101.762843",012-6214202,s171@my.mcd.com,1,1,1,0,1,1,1,1
12,McDonald's Setiawangsa DT,"Lot 16794 & 16795, Jalan 37/56, Taman Setiawangsa, 54200, Kuala Lumpur, Malaysia",3.178129,101.743585,N/A,"https://waze.com/ul?ll=3.178129,101.743585",03-42567660,s173@my.mcd.com,1,1,1,0,1,1,1,1
13,McDonald's Berjaya Times Square,"Lot 05-93, 93A, No. 1, Jalan Imbi, 55100, Kuala Lumpur, Malaysia",3.142065,101.710819,N/A,"https://waze.com/ul?ll=3.142065,101.710819",03-21100154,s176@my.mcd.com,1,0,1,1,1,1,0,1
14,McDonald's Kuchai Lama DT,"1/116B, Off Jalan Kuchai Lama, Kuchai Entrepreneurs Park, 58200, Kuala Lumpur, Malaysia",3.087352,101.690106,24 Hours,"https://waze.com/ul?ll=3.087352,101.690106",03-79822180,s182@my.mcd.com,1,1,1,0,1,1,1,1
15,McDonald's Taman Connaught DT,"Lot 18113, Jalan Cendikiawan, 55100, Mukim Petaling, Kuala Lumpur, Malaysia",3.081484,101.731946,24 Hours,"https://waze.com/ul?ll=3.081484,101.731946",03-91016190,s183@my.mcd.com,1,1,1,0,1,1,1,1
16,McDonald's Petronas TPM DT,"Petronas Petrol Station, Technology Park Malaysia, Seremban KL-Highway, 50700, Kuala Lumpur, Malaysia",3.056652,101.704186,24 Hours,"https://waze.com/ul?ll=3.056652,101.704186",03-90541502,s189@my.mcd.com,1,1,1,0,1,1,1,1
17,McDonald's Petronas Melati DT,"Lot 3644 HS (D) 70344 &, Lot PT 8081 HS (D) 107241, Taman Melati, Mukim Setapak, 53100, Kuala Lumpur, Malaysia",3.225019,101.728649,N/A,"https://waze.com/ul?ll=3.225019,101.728649",03-41613791,s214@my.mcd.com,1,1,1,0,1,1,1,1
18,McDonald's Shell Jalan Cheras DT,"Lot PT 7430, HSD 111856, KM5.5, Jalan Cheras, 56000, Cheras, Kuala Lumpur, Malaysia",3.104739,101.732853,24 Hours,"https://waze.com/ul?ll=3.104739,101.732853",03-91342127,s224@my.mcd.com,1,1,1,0,1,1,1,1
19,McDonald's Petronas MRR2 Kepong DT,"Lot 25747, Lebuh Raya Selayang, Kepong Lebuh Raya, Lingkaran Tengah 2 (MRR 2), 52100, Kepong, Kuala Lumpur, Malaysia",3.229265,101.655030,N/A,"https://waze.com/ul?ll=3.229265,101.655030",03-62596498,s251@my.mcd.com,1,1,1,0,1,1,1,1
20,McDonald's M2 Mall,"Lot 1, Level1, BUSANA, Menara MARA, No. 232, Jalan Tuanku Abdul Rahman, 50100, Kuala Lumpur , Malaysia",3.157924,101.695732,N/A,"https://waze.com/ul?ll=3.157924,101.695732",03-22028034,s285@my.mcd.com,1,0,1,0,1,1,0,1
21,McDonald's TTDI (Taman Tun Dr Ismail),"No. 2, 2A & B, Jalan Tun Mohd Fuad 2, Taman Tun Dr Ismail, 60000, Kuala Lumpur, Malaysia",3.140522,101.629209,N/A,"https://waze.com/ul?ll=3.140522,101.629209",03-77310984,s305@my.mcd.com,1,1,1,0,1,1,1,1
22,McDonald's BHP Taman Melawati DT,"Lot PT 8669, Jalan Lingkaran Tengah II, 53100, Kuala Lumpur, Malaysia",3.220217,101.735889,N/A,"https://waze.com/ul?ll=3.220217,101.735889",03-41621453,s328@my.mcd.com,1,1,1,0,1,1,1,1
23,McDonald's NU Sentral,"Unit No. L4. 02 & 03, Level 4, 1 Sentral, Jalan Travers, 50470, Kuala Lumpur, Malaysia",3.133295,101.687277,N/A,"https://waze.com/ul?ll=3.133295,101.687277",03-22760042,s331@my.mcd.com,1,0,1,1,1,1,0,1
24,McDonald's Sri Petaling,"No 63 & 63-1, Jalan Radin Tengah, Bandar Baru Sri Petaling, 57000, Kuala Lumpur, Malaysia",3.068888,101.691800,24 Hours,"https://waze.com/ul?ll=3.068888,101.691800",03-90540493,s338@my.mcd.com,1,1,1,0,1,1,1,1
25,McDonald's Mid Valley 3,"Tingkat 3, Mid Valley Megamall, Lingkaran Syed Putra, 59200, Kuala Lumpur, Malaysia",3.117399,101.677572,N/A,"https://waze.com/ul?ll=3.117399,101.677572",03-22010506,s347@my.mcd.com,1,0,1,1,1,1,0,0
26,McDonald's KL Sentral,"Lot 14, 15, & 16, First Floor, Kuala Lumpur Sentral Station, 50470, Kuala Lumpur, Malaysia",3.134615,101.686593,N/A,"https://waze.com/ul?ll=3.134615,101.686593",03-22722431,s155@my.mcd.com,1,1,1,1,1,1,0,0
27,McDonald's Suria KLCC,"Lot C35 - 38, Concourse Floor, Suria KLCC Shopping Centre, Jalan Ampang, 50088, Kuala Lumpur, Malaysia",3.157474,101.712164,N/A,"https://waze.com/ul?ll=3.157474,101.712164",03-27151512,s360@my.mcd.com,1,1,1,1,1,1,0,0
28,McDonald's MyTown Mall,"Lot No. B1-03 & B1-E-03, MyTown Shopping Centre, No. 6, Jalan Cohcrane, Section 90, 55100, Kuala Lumpur, Malaysia",3.134208,101.723645,N/A,"https://waze.com/ul?ll=3.134208,101.723645",03-27322567,s368@my.mcd.com,1,0,1,1,1,1,0,1
29,McDonald's Sunway Velocity Mall,"LG, Sunway Velocity Mall, Jalan Peel, 55100, Kuala Lumpur, Malaysia",3.127299,101.724463,N/A,"https://waze.com/ul?ll=3.127299,101.724463",03-27320717,s367@my.mcd.com,1,0,1,1,1,1,0,1
30,McDonald's Intermark Mall,"Lot No. G17, G17A & G17B, Ground Floor, Intermark Mall, 348, Jalan Tun Razak, 50400, Kuala Lumpur, Malaysia",3.161279,101.720181,N/A,"https://waze.com/ul?ll=3.161279,101.720181",03-27155667,s364@my.mcd.com,1,1,1,1,1,1,0,1
31,McDonald's Danau Kota DT,"Part of Lot 201138, Jalan Langkawi, Mukim Setapak, Taman Danau Kota, 53300 Kuala Lumpur.",3.2066149,101.71755680000001,24 Hours,"https://waze.com/ul?ll=3.2066149,101.71755680000001",03-41310897,s371@my.mcd.com,1,1,1,0,1,1,1,1
32,McDonald's Desa Park City DT,"Lot GF32 & FF31, Waterfront Parkcity, Persiaran Residen, Desapark City, 52200 Kuala Lumpur. ",3.1877337,101.62778,24 Hours,"https://waze.com/ul?ll=3.1877337,101.62778",03-62611632,s373@my.mcd.com,1,1,1,0,1,1,0,1
